,Time,neoHigh,neoLow,neoOpen,neoClose,neoVolumeFrom,neoVolumeTo,neoReturns
78,2017-10-02 17:00:00,36.77,28.83,36.61,32.28,2579279.2,84304506.17,-0.11827369571155417
79,2017-10-05 17:00:00,37.24,31.03,32.28,32.15,1923638.04,65788757.09,-0.00402726146220578
80,2017-10-08 17:00:00,32.98,26.64,32.15,30.03,1774856.3699999999,52963182.98,-0.06594090202177286
81,2017-10-11 17:00:00,30.47,26.7,30.03,27.69,1423676.33,40519104.11,-0.07792207792207792
82,2017-10-14 17:00:00,32.56,27.01,27.69,31.36,1168804.6,34286001.88,0.13253882267966768
83,2017-10-17 17:00:00,31.73,27.74,31.36,27.78,887416.96,25879471.480000004,-0.11415816326530608
84,2017-10-20 17:00:00,29.58,25.87,27.72,27.82,724651.26,20010488.07,0.003607503607503659
85,2017-10-23 17:00:00,32.58,27.04,27.84,28.33,964450.64,28871894.51,0.017600574712643622
86,2017-10-26 17:00:00,29.24,27.1,28.33,27.77,405997.69000000006,11450466.24,-0.019767031415460597
87,2017-10-29 17:00:00,31.46,26.68,27.71,26.87,1058618.87,30308005.119999997,-0.03031396607722843
88,2017-11-01 17:00:00,27.67,22.61,26.74,26.44,1077509.1400000001,27453392.34,-0.01121914734480169
89,2017-11-04 17:00:00,26.82,25.06,26.44,26.15,936639.54,24344002.72,-0.010968229954614323
90,2017-11-07 16:00:00,33.14,25.97,26.15,27.97,2425554.9299999997,73290295.11,0.06959847036328873
91,2017-11-10 16:00:00,29.87,25.04,27.97,28.22,1310478.34,36095735.8,0.00893814801573114
92,2017-11-13 16:00:00,30.42,27.79,28.21,28.74,843057.2999999999,24504274.59,0.018787663948954186
93,2017-11-16 16:00:00,48.28,28.37,28.74,40,4850735.94,192712103.14,0.3917884481558804
94,2017-11-19 16:00:00,43.5,33.47,40,36.01,3293506.1900000004,123766368.67,-0.09975000000000005
95,2017-11-22 16:00:00,40.04,33.38,36.01,38.03,1832408.76,66822015.08,0.05609552901971684
96,2017-11-25 16:00:00,41.86,36.93,38.03,37.86,1277993.6099999999,49927363.47,-0.004470155140678457
97,2017-11-28 16:00:00,39.48,19.46,37.86,35.83,2367420.16,80168546.56,-0.05361859482303225
98,2017-12-01 16:00:00,43.19,34.35,35.82,41.84,1797963.8599999999,69100249.83000001,0.16806253489670583
99,2017-12-04 16:00:00,42.82,31.75,41.86,34.02,1652580.31,61330303.05,-0.18729096989966545
100,2017-12-07 16:00:00,36.48,31.73,34.03,35.82,762610.57,26224683.490000002,0.05260064648839257
