,0
0,Recommended Portfolio Distribution:
1,BTC: 0.0319744414371
2,ETH: 0.0440678084784
3,ETC: 0.0641125941479
4,LTC: 0.0230586602099
5,DASH: 0.268138208964
6,NEO: 0.0037696705274
7,ZEC: 0.471328471672
8,XMR: 0.0935501445634
