,Time,etcHigh,etcLow,etcOpen,etcClose,etcVolume,etcReturns
0,2017-10-20 01:00:00,11.442,11.139,11.355,11.236,27825.61,-0.010479964773227633
1,2017-10-20 05:00:00,11.261,11.141,11.223,11.143,42439.684,-0.007128218836318281
2,2017-10-20 09:00:00,11.443,11.133,11.143,11.33,47080.203,0.016781836130305965
3,2017-10-20 13:00:00,11.38,11.215,11.343,11.355,25506.8,0.001057921184871767
4,2017-10-20 17:00:00,11.344,11.08,11.344,11.08,24733.453,-0.023272214386459746
5,2017-10-20 21:00:00,11.266,10.95,11.08,10.96,26562.82,-0.010830324909747223
6,2017-10-21 01:00:00,10.998,10.84,10.968,10.918,30802.215,-0.0045587162654997
7,2017-10-21 05:00:00,10.929,10.774,10.929,10.774,16895.34,-0.014182450361423838
8,2017-10-21 09:00:00,10.81,10.7,10.8,10.731,22195.094,-0.0063888888888889665
9,2017-10-21 13:00:00,10.899,10.641,10.733,10.737,17105.172,0.00037268238144037635
10,2017-10-21 17:00:00,10.9,10.7,10.744,10.844,20982.955,0.009307520476545015
11,2017-10-21 21:00:00,11.199,10.852,10.884,11.127,45394.656,0.022326350606394738
12,2017-10-22 01:00:00,11.127,10.685,11.127,10.744,28344.09,-0.0344207782870496
13,2017-10-22 05:00:00,10.75,10.5,10.75,10.6,25589.887,-0.013953488372093056
14,2017-10-22 09:00:00,10.811,10.552,10.568,10.737,17860.047,0.01599167297501897
15,2017-10-22 13:00:00,10.799,10.615,10.737,10.658,21754.787,-0.007357734935270618
16,2017-10-22 17:00:00,10.71,10.55,10.665,10.664,10069.687,-9.376465072662408e-05
17,2017-10-22 21:00:00,10.664,10.51,10.663,10.543,8421.387,-0.011253868517302916
18,2017-10-23 01:00:00,10.587,10.3,10.543,10.307,37783.332,-0.022384520534951997
19,2017-10-23 05:00:00,10.306,10,10.297,10.227,53271.434,-0.006798096532970795
20,2017-10-23 09:00:00,10.227,9.632,10.227,9.9301,73940.195,-0.029030996382125827
21,2017-10-23 13:00:00,10.207,9.801,9.946,10.171,301753.53,0.022622159662175713
22,2017-10-23 17:00:00,10.258,10.026,10.156,10.057,97662.9,-0.009747932256794033
23,2017-10-23 21:00:00,11.11,9.601,10.067,10.633,176679.31,0.056223303864110355
24,2017-10-24 01:00:00,10.819,10.56,10.666,10.708,87098.22,0.003937746109131803
25,2017-10-24 05:00:00,10.926,10.704,10.705,10.813,34177.332,0.01008874357776745
26,2017-10-24 09:00:00,10.92,10.65,10.792,10.774,39769.254,-0.0016679021497406118
27,2017-10-24 13:00:00,10.84,10.59,10.779,10.681,21211.453,-0.009091752481677406
28,2017-10-24 17:00:00,10.707,10.353,10.684,10.442,39118.72,-0.02265069262448513
29,2017-10-24 21:00:00,10.477,10.128,10.436,10.399,62599.008,-0.003545419701034957
30,2017-10-25 01:00:00,10.5,10.253,10.399,10.434,25007.066,0.0033657082411770504
31,2017-10-25 05:00:00,10.48,10.125,10.433,10.213,11457.931,-0.021086935684846222
32,2017-10-25 09:00:00,10.568,10.12,10.198,10.385,36479.91,0.018336928809570444
33,2017-10-25 13:00:00,10.599,10.22,10.358,10.491,18308.018,0.012840316663448457
34,2017-10-25 17:00:00,10.572,10.319,10.52,10.466,18773.996,-0.0051330798479087714
35,2017-10-25 21:00:00,10.514,10.37,10.466,10.476,7555.765,0.0009554748710110418
36,2017-10-26 01:00:00,10.507,10.276,10.501,10.385,20433.873,-0.011046566993619623
37,2017-10-26 05:00:00,10.65,10.357,10.396,10.596,14496.402,0.019238168526356222
38,2017-10-26 09:00:00,10.677,10.418,10.578,10.489,27656.453,-0.008413688788050542
39,2017-10-26 13:00:00,10.501,10.35,10.499,10.406,12564.329,-0.00885798647490237
40,2017-10-26 17:00:00,10.485,10.262,10.4,10.39,16273.336,-0.000961538461538441
41,2017-10-26 21:00:00,10.65,9.7131,10.393,10.367,223660.95,-0.0025016838256518618
42,2017-10-27 01:00:00,10.423,10.088,10.401,10.416,93370.97,0.0014421690222094577
43,2017-10-27 05:00:00,10.4,10.178,10.366,10.371,48932.703,0.0004823461315841001
44,2017-10-27 09:00:00,10.381,10.167,10.366,10.254,27671.316,-0.010804553347482163
45,2017-10-27 13:00:00,10.328,10.208,10.241,10.238,6348.8076,-0.00029294014256421385
46,2017-10-27 17:00:00,10.324,10.207,10.239,10.289,6724.113,0.004883289383728775
47,2017-10-27 21:00:00,10.411,10.23,10.295,10.24,10526.089,-0.005342399222923721
48,2017-10-28 01:00:00,10.333,10.22,10.24,10.271,11429.954,0.003027343750000057
49,2017-10-28 05:00:00,10.303,10.09,10.26,10.1,33689.227,-0.015594541910331399
50,2017-10-28 09:00:00,10.267,9.9,10.1,10.162,64394.832,0.006138613861386254
51,2017-10-28 13:00:00,10.343,10.13,10.163,10.31,15758.11,0.014464233002066342
52,2017-10-28 17:00:00,10.498,10.2,10.312,10.369,27335.676,0.005527540729247517
53,2017-10-28 21:00:00,10.999,10.372,10.39,10.796,81175.89,0.039076034648700554
54,2017-10-29 01:00:00,10.919,10.577,10.763,10.774,48031.992,0.0010220198829321966
55,2017-10-29 05:00:00,10.864,10.559,10.78,10.835,42653.73,0.005102040816326669
56,2017-10-29 09:00:00,10.942,10.73,10.826,10.844,25102.223,0.001662663957140117
57,2017-10-29 13:00:00,11.075,10.794,10.867,11.009,31660.258,0.013067083831784251
58,2017-10-29 17:00:00,11.168,10.8,10.981,10.81,31703.69,-0.015572352244786392
59,2017-10-29 21:00:00,10.916,10.8,10.82,10.87,18521.02,0.004621072088724486
60,2017-10-30 01:00:00,10.976,10.8,10.872,10.828,13930.955,-0.004047093451067006
61,2017-10-30 05:00:00,11,10.82,10.84,10.833,13971.493,-0.0006457564575645455
62,2017-10-30 09:00:00,10.99,10.711,10.859,10.776,25489.174,-0.007643429413389832
63,2017-10-30 13:00:00,10.855,10.671,10.741,10.77,12137.4375,0.0026999348291592883
64,2017-10-30 17:00:00,10.885,10.738,10.77,10.802,13301.082,0.002971216341689882
65,2017-10-30 21:00:00,10.885,10.765,10.765,10.845,8947.879,0.0074314909428704196
66,2017-10-31 01:00:00,10.887,10.68,10.833,10.686,16155.848,-0.013569648296870695
67,2017-10-31 05:00:00,10.781,10.649,10.686,10.757,34994.656,0.006644207374134356
68,2017-10-31 09:00:00,10.818,10.56,10.737,10.616,57782.523,-0.011269442116047353
69,2017-10-31 13:00:00,10.678,10.562,10.611,10.593,19051.645,-0.0016963528413910735
70,2017-10-31 17:00:00,10.603,10.5,10.593,10.5,25648.441,-0.00877938261115831
71,2017-10-31 21:00:00,10.594,10.435,10.5,10.501,21311.72,9.523809523804245e-05
72,2017-11-01 01:00:00,10.548,10.41,10.5,10.496,25523.24,-0.000380952380952339
73,2017-11-01 05:00:00,10.614,10.432,10.512,10.517,42844.62,0.0004756468797563741
74,2017-11-01 09:00:00,10.532,10.319,10.517,10.442,52351.88,-0.007131311210421156
75,2017-11-01 13:00:00,10.46,10.34,10.425,10.37,26441.318,-0.0052757793764989435
76,2017-11-01 17:00:00,10.369,10.11,10.352,10.11,31748.877,-0.023377125193199465
77,2017-11-01 21:00:00,10.256,9.9663,10.13,10.059,102049.06,-0.007008884501480898
78,2017-11-02 01:00:00,10.121,9.8,10.037,9.8,42539.47,-0.023612633256949296
79,2017-11-02 05:00:00,10.038,9.5,9.8483,10.032,91934.6,0.018652965486429127
80,2017-11-02 09:00:00,10.1,9.7,10.031,9.9155,44669.227,-0.011514305652477401
81,2017-11-02 13:00:00,10.074,9.815,9.9155,9.9214,40469.99,0.0005950279864858515
82,2017-11-02 17:00:00,10.039,9.798,9.8941,9.9888,17074.754,0.009571360709917988
83,2017-11-02 21:00:00,10.398,9.9663,9.9902,10.07,38311.88,0.007987828071510134
84,2017-11-03 01:00:00,10.299,9.9402,10.044,10.2,23198.791,0.015531660692950896
85,2017-11-03 05:00:00,10.375,10.11,10.2,10.287,33880.203,0.008529411764706032
86,2017-11-03 09:00:00,11.45,10.239,10.254,10.9,218393.81,0.06299980495416431
87,2017-11-03 13:00:00,12.049,10.79,10.866,11.91,226174.06,0.09607951408061849
88,2017-11-03 17:00:00,12.6,11.41,11.911,12.277,340047.5,0.030727898581143453
89,2017-11-03 21:00:00,12.52,11.31,12.36,11.69,199911.84,-0.05420711974110032
90,2017-11-04 01:00:00,11.713,11.251,11.69,11.491,79338.69,-0.017023096663815213
91,2017-11-04 05:00:00,11.705,11.3,11.48,11.602,60965.777,0.010627177700348421
92,2017-11-04 09:00:00,12.498,11.581,11.581,12.186,241771.3,0.05224073914169765
93,2017-11-04 13:00:00,12.199,11.81,12.187,11.954,54691.426,-0.019118733076228668
94,2017-11-04 17:00:00,12.09,11.61,11.949,11.782,56839.992,-0.013976064942673012
95,2017-11-04 21:00:00,11.86,11.625,11.77,11.769,29048.02,-8.496176720471077e-05
96,2017-11-05 01:00:00,11.985,11.515,11.768,11.723,51007.69,-0.003823929299796051
97,2017-11-05 04:00:00,12.48,11.716,11.725,12.475,134405.83,0.06396588486140725
98,2017-11-05 08:00:00,14.099,12.305,12.453,13.263,986572.3,0.06504456757407857
99,2017-11-05 12:00:00,14.24,13.2,13.255,13.454,514798.38,0.015013202565069772
100,2017-11-05 16:00:00,13.555,13.031,13.479,13.108,190664.56,-0.02752429705467755
101,2017-11-05 20:00:00,13.774,12.91,13.124,13.54,210341.67,0.031697653154525954
102,2017-11-06 00:00:00,14.299,13.302,13.512,14.201,143042.72,0.05099171107164003
103,2017-11-06 04:00:00,15.258,13.1,14.201,14.72,746089.5,0.03654672206182664
104,2017-11-06 08:00:00,15.177,14.353,14.718,14.566,258485.6,-0.0103274901481179
105,2017-11-06 12:00:00,14.789,13.8,14.535,14.11,179088.92,-0.029239766081871392
106,2017-11-06 16:00:00,14.663,13.803,14.11,13.835,115912.445,-0.019489723600283386
107,2017-11-06 20:00:00,14.466,13.78,13.86,14.185,81038.64,0.023448773448773528
108,2017-11-07 00:00:00,14.399,13.92,14.19,14.375,69145.68,0.013037350246652608
109,2017-11-07 04:00:00,14.723,14.097,14.382,14.158,126864.35,-0.015575024335975539
110,2017-11-07 08:00:00,14.184,13.313,14.148,13.612,213435.6,-0.03788521345773251
111,2017-11-07 12:00:00,13.767,13.253,13.612,13.462,88911.66,-0.01101968851013814
112,2017-11-07 16:00:00,13.572,13.137,13.463,13.542,66895.03,0.005867934338557575
113,2017-11-07 20:00:00,14.08,13.543,13.555,13.976,103896.85,0.03105864994466995
114,2017-11-08 00:00:00,13.976,13.65,13.976,13.772,51066.33,-0.014596451058958258
115,2017-11-08 04:00:00,13.961,13.681,13.779,13.782,56873.086,0.00021772262138036968
116,2017-11-08 08:00:00,14.087,13.6,13.781,14.02,95943.62,0.01734271823525136
117,2017-11-08 12:00:00,14.3,13.5,14.029,13.644,154345.22,-0.02744315346781665
118,2017-11-08 16:00:00,14.041,13.541,13.65,13.921,67980.88,0.01985347985347978
119,2017-11-08 20:00:00,14.3,13.8,13.915,13.93,63074.7,0.0010779734099892612
120,2017-11-09 00:00:00,14.526,13.857,13.929,14.341,95358.05,0.029578577069423434
121,2017-11-09 04:00:00,14.37,13.754,14.341,13.869,74836.66,-0.0329126281291402
122,2017-11-09 08:00:00,14.2,13.753,13.867,14.084,57517.035,0.015648662291771743
123,2017-11-09 12:00:00,14.48,13.987,14.072,14.243,97154.71,0.012151790790221799
124,2017-11-09 16:00:00,14.39,13.929,14.242,14.109,63355.863,-0.009338576042690696
125,2017-11-09 20:00:00,14.945,13.997,14.085,14.56,247609.16,0.033723819666311654
126,2017-11-10 00:00:00,15.158,14.413,14.559,15.158,182399,0.04114293564118416
127,2017-11-10 04:00:00,15.406,14.687,15.156,14.8,272709.03,-0.023489047242016354
128,2017-11-10 08:00:00,14.79,13.644,14.782,14.273,254439.22,-0.03443377080232718
129,2017-11-10 12:00:00,14.413,13.492,14.278,14.01,133215.34,-0.018770135873371667
130,2017-11-10 16:00:00,14.941,13.965,14.066,14.347,151290.94,0.01997725010664004
131,2017-11-10 20:00:00,15.652,14.149,14.376,15.298,373240.56,0.06413466889259882
132,2017-11-11 00:00:00,17.7,15.076,15.298,16.877,626364,0.10321610668061176
133,2017-11-11 04:00:00,17.385,16.2,16.823,16.35,263301.84,-0.028116269393092728
134,2017-11-11 08:00:00,18.6,16.25,16.349,18.598,645933.6,0.13756193039329614
135,2017-11-11 12:00:00,19.47,17.864,18.598,18.396,605238.25,-0.010861382944402526
136,2017-11-11 16:00:00,19.475,18.1,18.413,19.102,153488.64,0.03741921468527671
137,2017-11-11 20:00:00,20.34,19.047,19.159,20.113,585619.2,0.04979383057570858
138,2017-11-12 00:00:00,21.4,13.75,20.009,18,876180.25,-0.10040481783197562
139,2017-11-12 04:00:00,18.422,15.503,18,16.296,455360.03,-0.0946666666666667
140,2017-11-12 08:00:00,17.023,15.6,16.297,15.779,246417.66,-0.03178499110265697
