,0
0,Recommended Portfolio Distribution:
1,BTC: 0.0021076267919
2,ETH: 0.0893510945295
3,ETC: 0.287048272754
4,LTC: 0.0406171784081
5,DASH: 0.000358525253673
6,NEO: 0.450344662471
7,ZEC: 0.129367477968
8,XMR: 0.000805161823629
