,Time,neoHigh,neoLow,neoOpen,neoClose,neoVolume,neoReturns
0,2017-10-20 01:00:00,29.166,28.008,28.857,28.6,49386.914,-0.008905984683092418
1,2017-10-20 05:00:00,28.89,28.4,28.6,28.754,13596.438,0.005384615384615382
2,2017-10-20 09:00:00,29.15,28.533,28.75,28.949,35682.5,0.006921739130434839
3,2017-10-20 13:00:00,28.953,28.021,28.953,28.048,44279.223,-0.03125755534832318
4,2017-10-20 17:00:00,28.349,27.67,28.053,27.681,26844.031,-0.013260613838092178
5,2017-10-20 21:00:00,28.23,27.241,27.681,28.145,21147.557,0.01676240020230478
6,2017-10-21 01:00:00,28.257,27.312,28.145,27.473,15521.17,-0.02387635459228995
7,2017-10-21 05:00:00,27.839,27.2,27.615,27.302,12178.74,-0.011334419699438669
8,2017-10-21 09:00:00,27.365,26.45,27.298,26.523,57466.09,-0.02839035826800493
9,2017-10-21 13:00:00,27.6,25.83,26.649,27.258,57515.766,0.022852639873916402
10,2017-10-21 17:00:00,27.448,26.818,27.26,27.155,14149.759,-0.0038517975055025835
11,2017-10-21 21:00:00,29.647,26.918,27.198,28.47,72938.016,0.04676814471652321
12,2017-10-22 01:00:00,29.212,28.06,28.47,28.201,35531.9,-0.009448542325254597
13,2017-10-22 05:00:00,28.782,28.112,28.201,28.26,11040.51,0.0020921243927520673
14,2017-10-22 09:00:00,28.8,27.201,28.275,27.737,31259.992,-0.01902740937223697
15,2017-10-22 13:00:00,28.137,27.518,27.926,27.857,10767.228,-0.0024708157272792046
16,2017-10-22 17:00:00,28.972,27.939,27.939,28.538,33794.727,0.021439564766097575
17,2017-10-22 21:00:00,28.587,27.838,28.552,27.913,7533.032,-0.022380218548613034
18,2017-10-23 01:00:00,28.232,27.4,27.977,27.496,10928.716,-0.0171926939986418
19,2017-10-23 05:00:00,27.615,26.5,27.51,27.352,47701.316,-0.0057433660487096055
20,2017-10-23 09:00:00,27.429,26.5,27.409,26.91,34705.87,-0.018205698858039285
21,2017-10-23 13:00:00,27.58,26.5,26.91,27.537,22267.252,0.02329988851727978
22,2017-10-23 17:00:00,28.382,27.367,27.509,27.883,26021.31,0.013595550547093634
23,2017-10-23 21:00:00,31.5,26.8,27.952,30.229,119801.1,0.08146107613050935
24,2017-10-24 01:00:00,31.2,29.671,30.232,30.42,57151.227,0.006218576342947949
25,2017-10-24 05:00:00,31.249,30.255,30.447,31.091,29218.395,0.021151509179886424
26,2017-10-24 09:00:00,32.619,30.532,31.099,30.818,125669.94,-0.009035660310620882
27,2017-10-24 13:00:00,31.3,29.8,30.84,30.895,36753.625,0.0017833981841763851
