,Time,btcHigh,btcLow,btcOpen,btcClose,btcVolume,btcReturns
0,2017-09-18 21:00:00,4114,3930.1,4084.3,3978,10027.188,-0.026026491687682143
1,2017-09-19 01:00:00,3984.7,3836.2,3978,3904.6,8028.317,-0.01845148315736553
2,2017-09-19 05:00:00,4024.8,3891,3904.6,3988.5,6535.8457,0.021487476309993366
3,2017-09-19 09:00:00,4030,3939.4,3988.5,4007,6615.426,0.004638335213739501
4,2017-09-19 13:00:00,4040,3870.5,4007,3884.2,9735.735,-0.03064636885450466
5,2017-09-19 17:00:00,3943,3848.8,3886.1,3892.2,6806.5786,0.001569697125652945
6,2017-09-19 21:00:00,3930,3867.3,3892.6,3872.1,3569.7737,-0.00526640291835791
7,2017-09-20 01:00:00,3974.5,3829,3872.2,3946.7,6992.2124,0.019239708692732813
8,2017-09-20 05:00:00,3952.6,3885,3946.7,3910.1,2805.4583,-0.009273570324574938
9,2017-09-20 09:00:00,4049,3900.1,3910.2,3997.3,9199.179,0.022275075443711413
10,2017-09-20 13:00:00,4044.9,3940,3998.7,3957.1,4561.457,-0.010403381098857106
11,2017-09-20 17:00:00,3975,3840,3957,3872.4,6107.948,-0.02137983320697496
12,2017-09-20 21:00:00,3905,3790.1,3874.8,3818.9,9061.446,-0.014426551047796037
13,2017-09-21 01:00:00,3899.9,3793.6,3819,3889.5,4201.1543,0.018460329929300863
14,2017-09-21 05:00:00,3899.9,3817.2,3889.5,3853.3,3884.5464,-0.009307108882889785
15,2017-09-21 09:00:00,3873.6,3683.1,3854.2,3747.9,11917.08,-0.02758030200819878
16,2017-09-21 13:00:00,3747.4,3599.5,3747.1,3625,17051.047,-0.03258519922073067
17,2017-09-21 17:00:00,3689,3560,3627.6,3596.7,10592.946,-0.008518028448561057
18,2017-09-21 21:00:00,3691.9,3592.1,3600,3680.6,5059.2783,0.022388888888888864
19,2017-09-22 01:00:00,3748,3659,3681.7,3662.7,6398.5933,-0.005160659477958552
20,2017-09-22 05:00:00,3674.6,3530.6,3662.7,3538.2,9919.321,-0.033991317880252274
21,2017-09-22 09:00:00,3628.4,3490,3538.1,3519,14872.122,-0.005398377660326139
22,2017-09-22 13:00:00,3590.2,3514,3520,3586.1,6552.729,0.018778409090909064
23,2017-09-22 17:00:00,3650,3574,3586.1,3602.3,6392.756,0.00451744234683926
24,2017-09-22 21:00:00,3640,3555,3597.9,3610.9,2737.6604,0.003613218822090664
25,2017-09-23 01:00:00,3714.2,3610.9,3610.9,3686,4913.1504,0.020798138968124266
26,2017-09-23 05:00:00,3799.9,3686.9,3686.9,3799.9,6771.6167,0.030649054761452712
27,2017-09-23 09:00:00,3808.7,3696.5,3799.9,3724.1,5848.6704,-0.019947893365614932
28,2017-09-23 13:00:00,3776.1,3691.5,3724,3770,2886.2898,0.012352309344790547
29,2017-09-23 17:00:00,3785.7,3725,3770,3779.6,2467.0352,0.002546419098143212
30,2017-09-23 21:00:00,3783,3730,3779.3,3771.9,2712.447,-0.0019580345566639562
31,2017-09-24 01:00:00,3773.7,3615.5,3772.3,3654.1,6403.6284,-0.0313336691143335
32,2017-09-24 05:00:00,3689.4,3635.2,3655.5,3677.6,2796.6304,0.006045684584872086
33,2017-09-24 09:00:00,3739,3662.3,3677.2,3695.4,3942.5933,0.004949418035461839
34,2017-09-24 13:00:00,3714.9,3638.1,3695.1,3684.5,2383.0398,-0.002868663906254204
35,2017-09-24 17:00:00,3688.2,3638.1,3684.6,3654.7,2634.159,-0.008114856429463196
