,0
0,Recommended Portfolio Distribution:
1,BTC: 0.0180410176875
2,ETH: 0.00377590859407
3,ETC: 0.00315474140452
4,LTC: 0.366286372076
5,DASH: 0.00114576353705
6,NEO: 0.463456037585
7,ZEC: 0.000253851426288
8,XMR: 0.14388630769
