,Time,ethHigh,ethLow,ethOpen,ethClose,ethVolume,ethReturns
0,2017-09-18 21:00:00,299,286.01,296.82,288.31,63442.86,-0.02867057475911324
1,2017-09-19 01:00:00,289.08,275,288.3,281.1,66778.06,-0.024973985431841792
2,2017-09-19 05:00:00,289.97,279.7,281.11,287.66,35414.766,0.023300487353704994
3,2017-09-19 09:00:00,292.58,283.11,287.7,291.23,38693.227,0.012269725408411643
4,2017-09-19 13:00:00,292.36,281.18,291.23,282.8,36416.44,-0.02894619373004157
5,2017-09-19 17:00:00,286.7,278.01,282.8,282.63,28603.928,-0.0006011315417256574
6,2017-09-19 21:00:00,285.01,280.37,282.64,280.99,19563.93,-0.00583781488819692
7,2017-09-20 01:00:00,288.8,277,280.99,285.55,30277.953,0.01622833552795474
8,2017-09-20 05:00:00,285.92,281.01,285.55,284,17245.621,-0.005428121169672602
9,2017-09-20 09:00:00,294,283.6,284,291.35,32731.76,0.025880281690140925
10,2017-09-20 13:00:00,294,284.25,291.15,287,28806.885,-0.014253821054439215
11,2017-09-20 17:00:00,289.87,283.5,287,283.5,17978.97,-0.012195121951219513
12,2017-09-20 21:00:00,286.13,278.71,283.58,280,29953.484,-0.012624303547499768
13,2017-09-21 01:00:00,287.01,278.75,280,286.4,16611.213,0.022857142857142777
14,2017-09-21 05:00:00,287.53,280,286.4,283.85,23760.045,-0.008903631284916043
15,2017-09-21 09:00:00,284.5,266.08,283.85,272,65714.95,-0.0417474017967237
16,2017-09-21 13:00:00,272,253,271.98,256.33,93480.9,-0.05754099566144582
17,2017-09-21 17:00:00,265.58,251.52,256.34,256.67,63858.043,0.0012873527346494538
18,2017-09-21 21:00:00,265.84,256.4,256.71,264.7,24836.064,0.03112461532468548
19,2017-09-22 01:00:00,269.5,262.98,264.69,263.37,27329.594,-0.004986965884619718
20,2017-09-22 05:00:00,263.93,253.03,263.37,254.55,30244.066,-0.03348900785966508
21,2017-09-22 09:00:00,260.5,253.05,254.14,254.42,35783.68,0.0011017549382230313
22,2017-09-22 13:00:00,260,254.23,254.23,259.57,29065.154,0.021004602131927796
23,2017-09-22 17:00:00,264.38,259.17,259.54,262.19,36763.973,0.01021037219696377
24,2017-09-22 21:00:00,264.42,259.01,262.19,263.09,13584.553,0.003432625195468848
25,2017-09-23 01:00:00,268.9,262.91,263,266.81,18012.652,0.014486692015209135
26,2017-09-23 05:00:00,287.2,266.92,266.92,284.04,58341.09,0.06413906788550879
27,2017-09-23 09:00:00,286.28,276,284.19,278.02,29723.812,-0.021710827263450565
28,2017-09-23 13:00:00,284.11,277.15,278,282.64,26151.373,0.01669064748201434
29,2017-09-23 17:00:00,287,280.75,282.64,285.9,17546.176,0.011534106991225555
30,2017-09-23 21:00:00,294.54,283.53,285.9,293.75,37680.035,0.027457152850647162
31,2017-09-24 01:00:00,294.07,275.41,293.75,281.41,62952.7,-0.04200851063829779
32,2017-09-24 05:00:00,283.4,276.98,280.34,281.36,20172.459,0.003638439038310761
33,2017-09-24 09:00:00,288.99,280.59,281.36,286.54,26015.13,0.018410577196474293
