Time,btcReturns,ethReturns,etcReturns,ltcReturns,dashReturns,neoReturns,zecReturns,xmrReturns
2017-09-18 21:00:00,-0.026026491687682143,-0.02867057475911324,-0.02558794302749263,-0.03684481808648669,-0.029091451588840817,-0.05312544429173967,-0.02208476049281745,-0.02953158827002563
2017-09-19 01:00:00,-0.01845148315736553,-0.024973985431841792,-0.03148871159395692,-0.03254612546125466,-0.02237246465888129,-0.03454344328238139,-0.024975077391258677,-0.02717153748411692
2017-09-19 05:00:00,0.02148747630999337,0.023300487353704998,0.022960301463500168,0.06798764207796168,0.01655464276823498,0.035142279583268585,0.01562500000000003,0.018692077025149162
2017-09-19 09:00:00,0.0046383352137395,0.012269725408411643,0.00728300916802338,-0.017924410404727434,0.005258491546669197,0.04773629465855984,0.007180949363746839,0.003356460162501821
2017-09-19 13:00:00,-0.03064636885450466,-0.028946193730041567,-0.03402517863218785,-0.04557436055918119,-0.02372262773722631,-0.034341118593876924,-0.01334310083198164,-0.01820413172427901
2017-09-19 17:00:00,0.001569697125652945,-0.0006011315417256575,0.014518257809062837,0.0,0.010778816199376885,-0.014851485148514887,0.007590335685268268,0.016030066757337563
2017-09-19 21:00:00,-0.0052664029183579104,-0.005837814888196921,-0.01908065915004327,-0.018484358657411836,-0.010253876088702185,-0.002966314731020666,-0.013307883993425687,-0.03471591894179675
2017-09-20 01:00:00,0.019239708692732813,0.01622833552795474,0.014592730167153015,0.01714738632848748,0.025359150530918192,0.030110134384156818,0.01450521113140656,0.015673219192559606
2017-09-20 05:00:00,-0.009273570324574938,-0.0054281211696726025,-0.010989010989010941,-0.0037823351643129655,0.010765184414948873,-0.01853759011328511,-0.0025423728813560287,-0.0033333333333332624
2017-09-20 09:00:00,0.022275075443711413,0.025880281690140925,0.016666666666666673,0.015475735575085884,0.03515885022692891,0.014931396287328456,0.016400403375617024,0.012029682274247451
2017-09-20 13:00:00,-0.010403381098857106,-0.014253821054439215,0.020017331022530473,-0.005512699905926609,-0.0039408004203519455,-0.015923566878980906,-0.001980198019801957,-0.00465044339038985
2017-09-20 17:00:00,-0.02137983320697496,-0.012195121951219513,-0.03393041681019636,-0.024139760497195708,0.002104709287029809,-0.011358496255716898,-0.01726302573760192,-0.013129533678756434
2017-09-20 21:00:00,-0.014426551047796037,-0.01262430354749977,-0.015839117280654836,-0.01285886329202438,-0.016540739228098882,-0.03441983068890364,-0.022168139251891424,-0.017306197887131624
2017-09-21 01:00:00,0.018460329929300863,0.022857142857142774,0.01311149290170914,0.011412829594647744,0.06613803753860767,0.013387232255355028,0.02505151285110077,0.013285477045052865
2017-09-21 05:00:00,-0.009307108882889784,-0.008903631284916044,-0.008661487632824318,0.015369649805447453,0.013318102031149793,-0.01869641565953922,-0.009828401423790014,-0.004934957889063825
2017-09-21 09:00:00,-0.027580302008198783,-0.0417474017967237,-0.03134570347685108,-0.05141235353903384,-0.046553858852662035,-0.06132323551067636,-0.024895375040240298,-0.03172083111347885
2017-09-21 13:00:00,-0.03258519922073067,-0.057540995661445826,-0.06403940886699508,-0.06891809908998991,-0.059145989613387184,-0.05322128851540632,-0.024583838606548232,-0.060702136794478126
2017-09-21 17:00:00,-0.008518028448561057,0.0012873527346494538,-0.0046673286991063155,0.006267484981891554,0.010650379055277524,0.030998580217700005,-0.010153429602888151,0.0067507383620084346
2017-09-21 21:00:00,0.02238888888888886,0.03112461532468548,0.03125622138164445,0.028662695329361908,0.06781256643080562,0.024720662305332,0.031422868548617165,0.02937582197600105
2017-09-22 01:00:00,-0.005160659477958553,-0.004986965884619718,-0.004821600771456021,0.0027066154717693244,-0.019708216022523692,0.0006215040397762151,0.052931101165810165,-0.0008367727709617013
2017-09-22 05:00:00,-0.033991317880252274,-0.03348900785966508,-0.0441490393945273,-0.06181445198023939,-0.03546365552892244,-0.037267080745341616,-0.04878304657994116,-0.04431818181818188
2017-09-22 09:00:00,-0.0053983776603261395,0.0011017549382230313,-0.003146888640747191,0.00716214105624842,0.003322058468229109,-0.002346041055718425,0.06598344933413708,0.000642100381693029
2017-09-22 13:00:00,0.01877840909090906,0.0210046021319278,0.02185836918622428,0.019051838723969858,0.017699115044247773,0.09053593108631547,0.014293059125964016,0.011509689580019905
2017-09-22 17:00:00,0.00451744234683926,0.01021037219696377,0.010080846391855384,0.033057851239669485,0.010691712446098423,-0.023427217688865503,-0.008773264364318625,0.0135001913686921
2017-09-22 21:00:00,0.0036132188220906643,0.003432625195468848,0.0068080907745437435,-0.008104751278866555,0.002834682486338079,-0.0042500537981493775,0.04412891363195268,0.0004915577809023188
2017-09-23 01:00:00,0.020798138968124262,0.014486692015209137,0.014043012864578286,0.00733636711606343,0.022665035250247708,0.0495144595027212,0.025826294976321787,0.01068437110763221
2017-09-23 05:00:00,0.030649054761452712,0.06413906788550879,0.041347922920499616,0.0512982900569981,0.014129443938012702,0.043213014743263736,0.024555058532407092,0.031163419303975624
2017-09-23 09:00:00,-0.01994789336561493,-0.021710827263450562,-0.03947858472998133,-0.027289704612542456,-0.03512222534419781,-0.052487804878048806,-0.055599277811212405,-0.01653849514987324
2017-09-23 13:00:00,0.012352309344790549,0.01669064748201434,0.018033740546829543,0.0126300148588409,0.016707974923458286,0.030381050463439738,0.0057226705796038935,0.019277964708887232
2017-09-23 17:00:00,0.002546419098143212,0.011534106991225557,0.01349282296650718,0.0046890927624873395,0.007695620961952641,0.001150172525878866,-0.0018504090377874163,0.0010023751933930264
