,ABV,Beer,Brewery,IBU,Location,Number,Style
65,6.2%,Lucky U IPA,Breckenridge Brewery,68,"Denver, Colorado, USA",66,American
66,7%,Mayflower IPA,Mayflower Brewing Company,69,"Plymouth, Massachusetts, USA",67,American
67,6.8%,Modus Hoperandi,Ska Brewing Co.,65,"Durango, Colorado, USA",68,American
68,7.2%,Mojo IPA,Boulder Beer,,"Boulder, Colorado, USA",69,American
69,6.3%,Monumental IPA,Port City Brewing,57,"Alexandria, Virginia, USA",70,American
70,7%,Mountain High IPA,Mount Shasta Brewing,,"Weed, California, USA",71,
71,7.3%,Negro Nitron IPA,SanTan Brewing Company,85,"Chandler, Arizona, USA",72,Black
72,6.5%,Northwest Passage,Flat Earth Brewing Company,115,"Saint Paul, Minnesota, USA",73,American
73,6.5%,Otter Creek Black IPA,Otter Creek Brewing,60,"Middlebury, Vermont, USA",74,Black
74,9.5%,Palate Wrecker,Green Flash Bewing Co.,100,"San Diego, California, USA",75,Imperial
75,5.5%,Proper Job IPA,St. Austell Brewery,,"St. Austell, Cornwall, UK",76,English
76,6%,Punk IPA,BrewDog,45,"Fraserburgh, Scotland, UK",77,American
77,6.5%,Ranger India Pale Ale,New Belgium Brewing,70,"Fort Collins, Colorado, USA",78,American
78,6.2%,ReAle Extra,Birra Del Borgo,,"Borgorose, Rieti, Italy",79,American
79,6.2%,Red Chair,Deschutes Brewery,60,"Bend, Oregon, USA",80,Northwest
80,6.9%,Rich & Dan's Rye IPA,Harpoon Brewery,70,"Boston, Massachusetts, USA",81,Rye
81,7.7%,Ruination IPA,Stone Brewing Co.,100,"Escondido, California, USA",82,American
82,6.6%,Ruthless Rye IPA,Sierra Nevada Brewing Co.,55,"Chico, California, USA",83,American
83,5.73%,Ryediculous IPA,Chameleon Brewing,,"Racine, Wisconsin, USA",84,American
84,5.7%,Single-Wide IPA,Boulevard Brewing Co.,57,"Kansas, Missouri, USA",85,American
85,7.1%,Snake Dog IPA,Flying Dog Brewery,60,"Fredrick, Maryland, USA",86,American
86,5.7%,Sockeye Red IPA,Midnight Sun Brewing Co.,70,"Anchorage, Alaska, USA",87,American
87,6.9%,Stone Cali-Belgique IPA,Stone Brewing Co.,77,"Escondido, California, USA",88,California
88,6.9%,Stone IPA,Stone Brewing Co.,77,"Escondido, California, USA",89,American
89,6%,Stormcloud IPA,Rahr & Sons Brewing Company,64,"Fort Worth, Texas, USA",90,American
90,6.4%,Summit India Pale Ale,Summit Brewing Company,65,"St. Paul, Minnesota, USA",91,American
91,7%,Tap It IPA,Tap It Brewing Company,,"San Luis Obispo, California, USA",92,American
92,7.3%,Terrapin Hopsecutioner,Terrapin Beer Company,71,"Athens, Georgia, USA",93,American
93,7.2%,Torpedo IPA,Sierra Nevada Brewing Co.,65,"Chico, California, USA",94,American
94,6.8%,Torrey Pines IPA,Oggi's Pizza & Brewing Co.,,"San Clemente, California, USA",95,American
95,6.7%,Total Domination IPA,Ninkasi Brewing Company,65,"Eugene, Oregon, USA",96,American
96,7%,Tower 10 IPA,Karl Strauss Brewing Company,70,"San Diego, California, USA",97,American
97,4%,Trader Session IPA,Uinta Brewing Co.,42,"Salt Lake City, Utah, USA",98,American
98,6.2%,Twisted Pine Hoppy Boy,Twisted Pine Brewing Company,65,"Boulder, Colorado, USA",99,American
99,7.5%,Union Jack IPA,Firestone Walker Brewing Company,70,"Paso Robles, California, USA",100,American
100,7.7%,Vortex IPA,Fort George Brewery,,"Astoria, Oregon, USA",101,American
101,7.6%,Warrior IPA,Left Hand Brewing Company,69,"Longmont, Colorado, USA",102,American
102,7.3%,West Coast IPA,Green Flash Bewing Co.,95,"San Diego, California, USA",103,American
103,7.8%,West Coast Style IPA,Valley Brewing Company,75,"Stockton, California, USA",104,American
104,6.8%,White Rajah,The Brew Kettle Taproom,70,"Strongsville, Ohio, USA",105,American
105,7.5%,Wildeman Farmhouse IPA,Flying Dog Brewery,75,"Fredrick, Maryland, USA",106,American
106,7.3%,Wytchmaker Rye IPA,Jester King Craft Brewery,,"Austin, Texas, USA",107,American
107,6.2%,X-114 IPA,Widmer Brothers Brewing Company,50,"Portland, Oregon, USA",108,American
108,6.2%,Yellow Snow IPA,Rogue Ales,70,"Newport, Oregon, USA",109,American
